Project	Language Code	Average Edits per Month	Average Editors per Month	Edits (all time)	Editors (all time)	Pages (all time)	Bytes added (previous month)	Bytes removed (previous month)
Wikivoyage	cs	311	7	4925	178	735	26234.0	-569.0
Wikinews	shn	351	6	4484	11	2340	403697.0	-9295.0
